hotspot,time,t2m,tp,EVI,lwe_thickness,Population
Thailand,November 2011,0.33990147783251234,0.08374384236453201,0.21674876847290642,0.7881773399014779,0.5665024630541872
Thailand,December 2011,0.19704433497536947,0.4236453201970443,0.23645320197044334,0.6748768472906406,0.5714285714285714
Thailand,January 2012,0.770935960591133,0.8596059113300494,0.5295566502463054,0.4975369458128079,0.5788177339901477
Thailand,January 2012,0.770935960591133,0.8596059113300494,0.5295566502463054,0.5270935960591133,0.5788177339901477
Thailand,February 2012,0.7832512315270936,0.6847290640394089,0.7586206896551724,0.5763546798029556,0.5862068965517242
Thailand,March 2012,0.35467980295566504,0.6945812807881774,0.5221674876847291,0.6798029556650247,0.5911330049261084
Thailand,April 2012,0.33004926108374383,0.5517241379310345,0.8275862068965517,0.645320197044335,0.5960591133004927
Thailand,May 2012,0.21182266009852216,0.6551724137931032,0.6206896551724138,0.6600985221674877,0.6009852216748769
Thailand,June 2012,0.33497536945812806,0.21182266009852216,0.15270935960591134,0.541871921182266,0.6059113300492611
Thailand,July 2012,0.2512315270935961,0.3103448275862069,0.08374384236453201,0.5320197044334976,0.6108374384236454
Thailand,August 2012,0.4039408866995074,0.14778325123152564,0.09359605911330049,0.6551724137931033,0.6157635467980296
Thailand,September 2012,0.3842364532019705,0.7487684729064035,0.29064039408867004,0.5566502463054187,0.6206896551724138
Thailand,October 2012,0.6995073891625616,0.04433497536945813,0.5024630541871922,0.3891625615763547,0.625615763546798
Thailand,November 2012,0.9408866995073826,0.812807881773399,0.5073891625615763,0.4482758620689655,0.6305418719211823
Thailand,December 2012,0.9605911330049262,0.5369458128078818,0.8768472906403941,0.5172413793103449,0.6354679802955665
Thailand,January 2013,0.8177339901477833,0.4482758620689655,0.7241379310344828,0.5517241379310345,0.6403940886699507
Thailand,February 2013,0.9310344827586207,0.7586206896551724,0.8078817733990148,0.5467980295566502,0.645320197044335
Thailand,March 2013,0.6108374384236454,0.270935960591133,0.8571428571428572,0.5073891625615764,0.6502463054187192
Thailand,April 2013,0.8669950738916257,0.46798029556650245,0.27586206896551724,0.33497536945812806,0.6551724137931034
Thailand,May 2013,0.8916256157635468,0.019704433497536946,0.29556650246305416,0.1724137931034483,0.6600985221674877
Thailand,June 2013,0.4433497536945813,0.6108374384236454,0.7832512315270936,0.09359605911330049,0.6650246305418719
Thailand,July 2013,0.22167487684729065,0.8522167487684729,0.4876847290640394,0.20689655172413793,0.6699507389162561
Thailand,August 2013,0.41379310344827586,0.24630541871921183,0.9704433497536946,0.10837438423645321,0.6748768472906403
