time,Population,hotspot
July 2013,11397518.27662939,Chile
August 2013,11362210.310371358,Chile
September 2013,11427282.169326687,Chile
October 2013,11447693.85215403,Chile
November 2013,11413372.159499787,Chile
December 2013,11564222.235937739,Chile
January 2014,11511549.356333207,Chile
February 2014,11444731.677255267,Chile
March 2014,11557924.009774595,Chile
April 2014,11492861.579214267,Chile
May 2014,11602847.844406351,Chile
June 2014,11641478.607382715,Chile
July 2014,11557770.431011012,Chile
August 2014,11669536.549066147,Chile
September 2014,11660424.801409699,Chile
October 2014,11700385.370535595,Chile
November 2014,11775425.797976878,Chile
December 2014,11683283.226511385,Chile
January 2015,11676532.858118586,Chile
February 2015,11689072.477433382,Chile
March 2015,11710564.320814831,Chile
April 2015,11768380.935676895,Chile
May 2015,11808974.559884185,Chile
June 2015,11825206.657353884,Chile
July 2015,11872647.010083688,Chile
August 2015,11850061.968469359,Chile
September 2015,11944215.853338653,Chile
October 2015,11874193.985256512,Chile
November 2015,12048304.458265493,Chile
December 2015,11958798.903831502,Chile
January 2016,11903040.737211687,Chile
February 2016,11912990.341024423,Chile
March 2016,12013076.567158515,Chile
April 2016,11997542.255271848,Chile
May 2016,12066417.795118922,Chile
June 2016,12074968.014386497,Chile
July 2016,12067033.052614482,Chile
August 2016,12047976.473757342,Chile
September 2016,12034403.50560772,Chile
October 2016,12110054.853329593,Chile
November 2016,12198529.704967216,Chile
December 2016,12185611.94583394,Chile
January 2017,12132123.00577313,Chile
February 2017,12227682.90864264,Chile
March 2017,12258622.813138634,Chile
April 2017,12215005.271644358,Chile
May 2017,12290108.521586025,Chile
June 2017,12307257.734898794,Chile
July 2017,12266447.980343848,Chile
August 2017,12366245.08437923,Chile
September 2017,12398849.986906072,Chile
October 2017,12447272.501083348,Chile
November 2017,12467852.731781892,Chile
December 2017,12363343.969895214,Chile
January 2018,12409032.279102882,Chile
February 2018,12507169.999591827,Chile
March 2018,12527802.868766734,Chile
April 2018,12550783.343885291,Chile
May 2018,12745769.549598131,Chile
June 2018,12598765.732117057,Chile
July 2018,12650178.020460727,Chile
August 2018,12663692.607657664,Chile
September 2018,12670939.94448476,Chile
October 2018,12643066.561440665,Chile
November 2018,12721600.94583158,Chile
December 2018,12664467.469154092,Chile
January 2019,12716563.925109796,Chile
February 2019,12728039.830443766,Chile
March 2019,12779397.377240438,Chile
April 2019,12919345.357303413,Chile
May 2019,12726383.293437002,Chile
June 2019,12882937.79762846,Chile
July 2019,12787466.296850078,Chile
August 2019,12870875.4064218,Chile
September 2019,12976035.324691027,Chile
October 2019,12946541.630573442,Chile
November 2019,12911757.167459939,Chile
December 2019,12954081.875761267,Chile
December 2000,485871298.9987924,China
January 2001,485479980.3770571,China
February 2001,486480416.7189342,China
March 2001,487546087.8787417,China
April 2001,486055606.9852604,China
May 2001,486278805.32190824,China
June 2001,488285542.80441535,China
July 2001,487713615.41207194,China
August 2001,486732725.71893805,China
September 2001,487954601.46246666,China
October 2001,487192461.9689995,China
November 2001,487420819.0468675,China
December 2001,488337162.1145173,China
January 2002,486462556.5455219,China
February 2002,486883434.0915997,China
March 2002,488235698.8905686,China
April 2002,488030789.2466643,China
May 2002,489559376.04607177,China
June 2002,488598584.6611942,China
July 2002,488333417.1052823,China
August 2002,491388658.6988716,China
September 2002,489968346.8995958,China
October 2002,490484386.4846029,China
November 2002,489259134.1953016,China
December 2002,490350180.4705934,China
January 2003,491237021.25478804,China
February 2003,490246007.3352901,China
March 2003,491962633.2055037,China
April 2003,491251334.871985,China
May 2003,491791024.2484152,China
June 2003,491732367.9701999,China
July 2003,494373052.5751395,China
August 2003,492790578.60306346,China
September 2003,492012797.00855356,China
October 2003,494091533.17480856,China
November 2003,492335093.0242206,China
December 2003,493972531.8189305,China
January 2004,492098199.1252033,China
February 2004,492966390.77502984,China
March 2004,494693689.8831963,China
April 2004,495473848.30413496,China
May 2004,495160014.3655208,China
June 2004,495128565.1750863,China
July 2004,495188537.75534755,China
August 2004,494284969.67027324,China
September 2004,495277743.32759094,China
October 2004,495773246.42846745,China
November 2004,497509516.8596436,China
December 2004,497052283.46596056,China
January 2005,495245520.89834857,China
February 2005,497546428.9370235,China
March 2005,497083627.4498685,China
April 2005,497054419.4904692,China
May 2005,498564919.33133394,China
June 2005,499232271.842587,China
July 2005,499382960.6577211,China
August 2005,497905456.4207091,China
September 2005,498681218.1868686,China
October 2005,499556903.60330814,China
November 2005,500444595.4494931,China
December 2005,499268106.8487157,China
January 2006,499822022.68604153,China
February 2006,499186678.5509749,China
March 2006,499339296.35781413,China
April 2006,501573210.40638494,China
May 2006,502363593.3604088,China
June 2006,501231097.21677744,China
July 2006,502542388.8129757,China
August 2006,502180099.56244755,China
September 2006,501460443.1422977,China
October 2006,502704124.4409526,China
November 2006,504123032.54202753,China
December 2006,502839319.406984,China
January 2007,504678371.523341,China
February 2007,500851347.0986366,China
March 2007,504467502.8761829,China
April 2007,504019181.66367084,China
May 2007,503903743.15335673,China
June 2007,504557932.80000705,China
July 2007,502783987.45264465,China
August 2007,504787029.0744797,China
September 2007,505623415.5346217,China
October 2007,506983872.68626463,China
November 2007,505300141.4095627,China
December 2007,505278566.2112677,China
January 2008,505862093.4813871,China
February 2008,507533242.7745623,China
March 2008,507223462.8158517,China
April 2008,506665668.5328538,China
May 2008,507961236.53226334,China
June 2008,507836681.3848093,China
July 2008,508964309.82266474,China
August 2008,507611005.59833205,China
September 2008,508260798.09232426,China
October 2008,508471632.4755536,China
November 2008,507705314.1459848,China
December 2008,509702775.4548006,China
January 2009,509958109.4442594,China
February 2009,509997101.9406504,China
March 2009,510023968.72627676,China
April 2009,509157109.4323066,China
May 2009,510411744.42350197,China
June 2009,510777754.05345285,China
July 2009,510607962.12745696,China
August 2009,511525471.04458004,China
September 2009,512368878.4150258,China
October 2009,514100914.93026775,China
November 2009,512714130.70548815,China
December 2009,513075734.0994181,China
January 2010,513047348.6998713,China
February 2010,511537687.32844615,China
March 2010,513659162.43628037,China
April 2010,514040919.3297125,China
May 2010,516681809.54835093,China
June 2010,514377528.5642602,China
July 2010,515148515.278606,China
August 2010,515115954.6027384,China
September 2010,514302066.287165,China
October 2010,516853324.47417754,China
November 2010,516767254.8734273,China
December 2010,517092770.9075332,China
January 2011,515735970.38567895,China
February 2011,518309379.3100424,China
March 2011,515841151.6016102,China
April 2011,518097728.87958103,China
May 2011,519967145.89753485,China
June 2011,517160173.7849115,China
July 2011,517874446.95245874,China
August 2011,518835425.70392364,China
September 2011,518553386.591787,China
October 2011,517826446.5445082,China
November 2011,519721128.7309302,China
December 2011,518912227.9716305,China
January 2012,520732402.18068695,China
February 2012,519683803.6637065,China
March 2012,522397898.1928698,China
April 2012,520428433.4052026,China
May 2012,521185782.83320504,China
June 2012,522613859.4467984,China
July 2012,520917083.11456203,China
August 2012,522661278.2329568,China
September 2012,524034606.6571266,China
October 2012,521485454.812128,China
November 2012,523556588.92249864,China
December 2012,523935920.16883963,China
January 2013,524768966.8425422,China
February 2013,523113468.95116365,China
March 2013,523322357.1846235,China
April 2013,525448748.6702916,China
May 2013,525539853.18196815,China
June 2013,525816139.7065176,China
July 2013,526221567.0999654,China
August 2013,525537994.7081477,China
September 2013,526753364.81041473,China
October 2013,527124377.0889034,China
November 2013,526459462.5982431,China
December 2013,529298052.4797098,China
January 2014,528272797.66931754,China
February 2014,526979957.60727465,China
March 2014,529095258.0070843,China
April 2014,527835622.98390937,China
