time,discharge,hotspot
November 1996,-0.07384348,Greece
December 1996,1.0866756,Greece
January 1997,0.9776983,Greece
February 1997,-2.550819,Greece
March 1997,-2.7577367,Greece
April 1997,-1.0721102,Greece
May 1997,-1.4719214,Greece
June 1997,-0.9697006,Greece
July 1997,-0.8951882,Greece
August 1997,-0.022417426,Greece
September 1997,-1.0709344,Greece
October 1997,0.023698807,Greece
November 1997,-0.92518187,Greece
December 1997,2.3585234,Greece
January 1998,-0.5141301,Greece
February 1998,2.4692993,Greece
March 1998,-1.0454249,Greece
April 1998,-1.882299,Greece
May 1998,0.89485264,Greece
June 1998,-0.43109012,Greece
July 1998,-0.54401445,Greece
August 1998,-0.53872645,Greece
September 1998,0.5346532,Greece
October 1998,0.5216756,Greece
November 1998,3.577283,Greece
December 1998,3.5196285,Greece
January 1999,2.3271618,Greece
February 1999,3.2866592,Greece
March 1999,3.0293589,Greece
April 1999,1.479507,Greece
May 1999,0.71447515,Greece
June 1999,0.5503459,Greece
July 1999,0.3650906,Greece
August 1999,0.5070524,Greece
September 1999,0.21019888,Greece
October 1999,-0.8074846,Greece
November 1999,1.2229772,Greece
December 1999,-0.21697426,Greece
January 2000,-1.612989,Greece
February 2000,-1.4971957,Greece
March 2000,-2.0751443,Greece
April 2000,-2.05014,Greece
May 2000,-1.5407498,Greece
June 2000,-1.3863378,Greece
July 2000,-1.1614594,Greece
August 2000,-0.7885431,Greece
September 2000,-0.80578876,Greece
October 2000,-0.94303155,Greece
November 2000,-2.3781881,Greece
December 2000,-4.0297174,Greece
January 2001,-3.1554165,Greece
February 2001,-4.0670652,Greece
March 2001,-4.921185,Greece
April 2001,-1.4553614,Greece
May 2001,-2.0019264,Greece
June 2001,-1.9746915,Greece
July 2001,-1.0418079,Greece
August 2001,-0.7565365,Greece
September 2001,-0.81352866,Greece
October 2001,-2.3194356,Greece
November 2001,-2.8607898,Greece
December 2001,-2.4959621,Greece
January 2002,-3.570836,Greece
February 2002,-5.6402545,Greece
March 2002,-3.430719,Greece
April 2002,-2.47612,Greece
May 2002,-2.3065927,Greece
June 2002,-1.8363338,Greece
July 2002,0.16840744,Greece
August 2002,0.5704484,Greece
September 2002,2.4500391,Greece
October 2002,3.0755286,Greece
November 2002,0.63684607,Greece
December 2002,5.5021877,Greece
January 2003,6.442836,Greece
February 2003,6.1185637,Greece
March 2003,2.66852,Greece
April 2003,1.5294175,Greece
May 2003,1.0202575,Greece
