Coefficient;Value;Std Error;t-value;p-value;Significance;Hotspot
alpha_2;0.2736;0.0876;3.1235;0.0023;***;Turkey
alpha_3;0.317;0.0466;6.8016;0.0;***;Turkey
alpha_4;0.297;0.0633;4.6958;0.0;***;Turkey
alpha_5;0.4838;0.0277;17.4968;0.0;***;Turkey
alpha_6;-0.3663;0.0433;-8.4673;0.0;***;Turkey
alpha_7;0.583;0.0267;21.8481;0.0;***;Turkey
alpha_8;-0.2209;0.0505;-4.3702;0.0;***;Turkey
alpha_9;-0.0573;0.0241;-2.378;0.0192;**;Turkey
alpha_10;0.2732;0.0785;3.4801;0.0007;***;Turkey
alpha_11;0.3813;0.0763;4.9981;0.0;***;Turkey
alpha_12;-0.237;0.0701;-3.38;0.001;***;Turkey
alpha_13;0.0959;0.0485;1.9784;0.0504;;Turkey
alpha_14;0.7784;0.0048;162.8109;0.0;***;Turkey
alpha_15;0.6811;0.0259;26.2879;0.0;***;Turkey
alpha_16;0.8276;0.0327;25.3045;0.0;***;Turkey
alpha_17;0.1211;0.0947;1.2792;0.2036;;Turkey
alpha_18;0.3136;0.0222;14.1589;0.0;***;Turkey
alpha_19;0.1008;0.0122;8.2519;0.0;***;Turkey
alpha_20;-0.5433;0.0613;-8.86;0.0;***;Turkey
alpha_21;-0.3123;0.0829;-3.7674;0.0003;***;Turkey
alpha_0;-0.2034;0.0385;-5.2883;0.0;***;Italy
alpha_1;0.3413;0.0676;5.0499;0.0;***;Italy
alpha_2;0.0384;0.0661;0.5812;0.5623;;Italy
alpha_3;0.5078;0.0464;10.9381;0.0;***;Italy
alpha_4;-0.1632;0.0676;-2.4149;0.0174;**;Italy
alpha_5;-0.0256;0.0216;-1.1828;0.2395;;Italy
alpha_6;-0.2554;0.0344;-7.4219;0.0;***;Italy
alpha_7;0.2796;0.0247;11.3118;0.0;***;Italy
alpha_8;-0.0903;0.0519;-1.7387;0.085;;Italy
alpha_9;-0.0062;0.0437;-0.1418;0.8875;;Italy
alpha_10;-0.5934;0.0635;-9.3406;0.0;***;Italy
alpha_11;1.4653;0.0595;24.6323;0.0;***;Italy
alpha_12;0.2327;0.0959;2.4279;0.0169;**;Italy
alpha_13;0.2156;0.047;4.5856;0.0;***;Italy
alpha_14;0.7196;0.006;120.1559;0.0;***;Italy
alpha_15;0.1479;0.0359;4.1165;0.0001;***;Italy
alpha_16;0.8098;0.0474;17.0875;0.0;***;Italy
alpha_17;-0.2452;0.0933;-2.6272;0.0099;***;Italy
alpha_18;0.229;0.0409;5.6001;0.0;***;Italy
alpha_19;0.2187;0.0178;12.3201;0.0;***;Italy
alpha_20;0.583;0.108;5.4001;0.0;***;Italy
alpha_21;-1.0415;0.1067;-9.7645;0.0;***;Italy
alpha_0;0.508;0.0525;9.6735;0.0;***;California
alpha_1;1.0361;0.073;14.2032;0.0;***;California
alpha_2;0.6963;0.0594;11.7164;0.0;***;California
alpha_3;0.0056;0.0457;0.1226;0.9026;;California
alpha_4;0.0959;0.0632;1.5156;0.1326;;California
alpha_5;0.1564;0.0355;4.4102;0.0;***;California
alpha_6;-0.3647;0.0618;-5.8997;0.0;***;California
alpha_7;0.0014;0.0222;0.065;0.9483;;California
alpha_8;0.0048;0.0697;0.0687;0.9454;;California
alpha_9;0.8266;0.0437;18.9238;0.0;***;California
alpha_10;-0.2495;0.0944;-2.6438;0.0094;***;California
alpha_11;0.9585;0.1155;8.3003;0.0;***;California
alpha_12;1.1275;0.0548;20.5845;0.0;***;California
alpha_13;0.7926;0.0804;9.8577;0.0;***;California
alpha_14;0.7606;0.0055;139.5069;0.0;***;California
alpha_15;0.4175;0.0418;9.9777;0.0;***;California
alpha_16;0.5511;0.0978;5.6326;0.0;***;California
alpha_17;-0.5063;0.0871;-5.8101;0.0;***;California
alpha_18;0.5607;0.0388;14.4531;0.0;***;California
alpha_19;0.1781;0.0157;11.3489;0.0;***;California
alpha_20;0.77;0.0764;10.0816;0.0;***;California
alpha_21;1.2046;0.0788;15.2817;0.0;***;California
alpha_0;-0.0008;0.0567;-0.0137;0.9891;;Mexico
alpha_1;0.5418;0.0692;7.8325;0.0;***;Mexico
alpha_2;-1.1132;0.0551;-20.1963;0.0;***;Mexico
alpha_3;1.6891;0.0452;37.4037;0.0;***;Mexico
alpha_4;-0.6846;0.0659;-10.389;0.0;***;Mexico
alpha_5;0.1285;0.0385;3.3372;0.0012;***;Mexico
alpha_6;0.0083;0.0663;0.1259;0.9;;Mexico
alpha_7;-0.0326;0.0229;-1.4247;0.1571;;Mexico
alpha_8;2.0083;0.0371;54.0755;0.0;***;Mexico
alpha_9;1.1055;0.0565;19.5526;0.0;***;Mexico
alpha_10;-1.5839;0.1054;-15.0302;0.0;***;Mexico
alpha_11;0.6576;0.1406;4.6768;0.0;***;Mexico
alpha_12;0.7695;0.0934;8.24;0.0;***;Mexico
alpha_13;1.2825;0.0429;29.8686;0.0;***;Mexico
alpha_14;0.8371;0.0042;198.1578;0.0;***;Mexico
alpha_15;-0.7729;0.0433;-17.8307;0.0;***;Mexico
alpha_16;0.4789;0.0723;6.6223;0.0;***;Mexico
alpha_17;0.5083;0.0705;7.2072;0.0;***;Mexico
alpha_18;1.0857;0.0563;19.2807;0.0;***;Mexico
alpha_19;-0.0582;0.0206;-2.8265;0.0056;***;Mexico
alpha_20;1.475;0.0716;20.6049;0.0;***;Mexico
alpha_21;1.7707;0.0583;30.3514;0.0;***;Mexico
alpha_0;0.0007;0.0231;0.0284;0.9774;;Chile
alpha_1;0.2893;0.0719;4.0234;0.0001;***;Chile
alpha_2;-1.2596;0.099;-12.7294;0.0;***;Chile
